label,title,link
Positif,"Wamendukbangga: Distribusi MBG untuk Ibu Hamil, Menyusui, da",https://tribratanews.polri.go.id/blog/nasional-3/wamendukbangga-distribusi-mbg-untuk-ibu-hamil-menyusui-dan-balita-harus-ditingkatkan-100458
Negatif,Makan Gratis dan Pertaruhan Politik Anggaran | tempo.co,https://www.tempo.co/kolom/mbg-dan-pertaruhan-politik-anggaran-2126815
Positif,Pedagang Melon di Pasar Gede Solo Rasakan Peningkatan Ekonomi Sejak Ada MBG,https://www.liputan6.com/regional/read/6310544/pedagang-melon-di-pasar-gede-solo-rasakan-peningkatan-ekonomi-sejak-ada-mbg
Netral,"Melihat Praktik Kyushoku, Program MBG di Jepang yang Tak Cuma Makan Tapi Pembentukan Karakter Anak",https://wartaekonomi.co.id/read606799/melihat-praktik-kyushoku-program-mbg-di-jepang-yang-tak-cuma-makan-tapi-pembentukan-karakter-anak
Negatif,Anak Bukan Angka: Kritik Ibu atas Program Makan Bergizi Gratis...,https://bandungbergerak.id/article/detail/1546036303/anak-bukan-angka-kritik-ibu-atas-program-makan-bergizi-gratis
Negatif,"Anggaran Ketat! Makan Bergizi Gratis Dipangkas Jadi 5 Hari, Begini Nasib Sekolah dan Katering Lokal - Info Pendidikan BIC",https://infopendidikan.bic.id/pemangkasan-hari-makan-bergizi-gratis-2026/
Positif,Rutinitas Babinsa Koramil 03/TPL Dampingi Pelaksanaan Program Makan Bergizi Gratis di Wilayah Tempuling,https://medialokal.co/news/detail/64114/rutinitas-babinsa-koramil-03tpl-dampingi-pelaksanaan-program-makan-bergizi-gratis-di-wilayah-tempuling
Positif,Polri melalui Polres Mempawah meluncurkan program Makan Bergizi Gratis - Tribrata Kutai Timur,https://www.tribratakutim.com/berita-terkini/polri-melalui-polres-mempawah-meluncurkan-program-makan-bergizi-gratis/195580.html
Positif,CAMAT BULELENG HADIRI GRAND LAUNCHING PROGRAM MBG DI SMA N 2 SINGARAJA | Kecamatan Buleleng,https://buleleng.bulelengkab.go.id/informasi/detail/berita/92_camat-buleleng-hadiri-grand-launching-program-mbg-di-sma-n-2-singaraja
Negatif,"Sembilan SPPG Berau Kena Suspend, Ribuan Siswa Tak Terima Makan Bergizi Gratis Mulai Hari Ini - Berau Terkini",https://berauterkini.co.id/sembilan-sppg-berau-kena-suspend-ribuan-siswa-tak-terima-makan-bergizi-gratis-mulai-hari-ini/
Netral,"[HOAKS atau FAKTA]: Terima Masukan Rakyat, Prabowo Hentikan Program Makan Bergizi Gratis, Ganti dengan Bantuan Uang Tunai - MerahPutih",https://www.merahputih.com/post/read/hoaks-atau-fakta-terima-masukan-rakyat-prabowo-hentikan-program-makan-bergizi-gratis-ganti-dengan-bantuan-uang-tunai
Negatif,MBG: 2.721 SPPG sempat ditutup sementara - 'Sertifikasi jangan hanya formalitas administrasi saja' - BBC News Indonesia,https://www.bbc.com/indonesia/articles/c4g257y1pr9o
Positif,Kemenag Perkuat Program Makan Bergizi Gratis di Pesantren dan Madrasah – UIN Datokarama Palu,https://uindatokarama.ac.id/kemenag-perkuat-program-makan-bergizi-gratis-di-pesantren-dan-madrasah/
Negatif,"Siswa Jakarta Timur Keracunan Makan Bergizi Gratis, DPR Desak Penutupan Permanen SPPG - IniBalikpapan.Com",https://www.inibalikpapan.com/siswa-jakarta-timur-keracunan-makan-bergizi-gratis-dpr-desak-penutupan-permanen-sppg/
Netral,"Menu Kering Dihapus, MBG Kini Wajib Sajikan Makanan Siap Santap",https://pusaranmedia.com/read/47573/menu-kering-dihapus-mbg-kini-wajib-sajikan-makanan-siap-santap
Negatif,"Puluhan Siswa di Jakarta Keracunan Makan Bergizi Gratis, BGN Tutup Dapur SPPG dan Tanggung Biaya Pengobatan - IniBalikpapan.Com",https://www.inibalikpapan.com/puluhan-siswa-di-jakarta-keracunan-makan-bergizi-gratis-bgn-tutup-dapur-sppg-dan-tanggung-biaya-pengobatan/
Positif,Omzet Pedagang Jeruk di Solo Naik Signifikan Berkat Program MBG - Nasional,https://www.bloombergtechnoz.com/detail-news/105078/omzet-pedagang-jeruk-di-solo-naik-signifikan-berkat-program-mbg
Negatif,"Keracunan Makan Bergizi Gratis di Jaktim: SPPG Ditutup Sementara, Tracing Medis Dimulai",https://koran-jakarta.com/2026-04-04/keracunan-makan-bergizi-gratis-di-jaktim-sppg-ditutup-sementara-tracing-medis-dimulai
Netral,Efektvitas Program Makan Bergizi Gratis | Siaran Berita,https://siaran-berita.com/efektvitas-program-makan-bergizi-gratis/
Negatif,Membenahi Tata Kelola MBG,https://tabloidsinartani.com/detail//indeks/pangan/27068-Membenahi-Tata-Kelola-MBG
Positif,Buka Puasa IKA IPM Sulsel Dirangkaikan Sosialisasi Program Makan Bergizi Gratis di Makassar - Berita Unismuh Makassar,https://news.unismuh.ac.id/2026/03/16/buka-puasa-ika-ipm-sulsel-dirangkaikan-sosialisasi-program-makan-bergizi-gratis-di-makassar/
Positif,Babinsa Koramil 09/Kemuning Dampingi Kegiatan Makan Bergizi Gratis di Kecamatan Keritang,https://medialokal.co/news/detail/64086/babinsa-koramil-09kemuning-dampingi-kegiatan-makan-bergizi-gratis-di-kecamatan-keritang
Positif,Menteri Pertanian Beri Dukungan Penuh ke APPMBGI Jelang National Summit 2026: MBG Bukan Sekadar Makan Gratis - Mencerdaskan & Memuliakan,https://gurindam.id/2026/04/06/menteri-pertanian-beri-dukungan-penuh-ke-appmbgi-jelang-national-summit-2026-mbg-bukan-sekadar-makan-gratis/
Positif,DPR Tegaskan Komitmen Pemerintah tentang Kelanjutan Program MBG,https://jatim.viva.co.id/kabar/25269-dpr-tegaskan-komitmen-pemerintah-tentang-kelanjutan-program-mbg
Negatif,Parlemen RI Minta Dapur MBG Penyebab Keracunan Ditutup Permanen,https://rmbanten.com/berita/dpr-minta-dapur-mbg-penyebab-keracunan-di-jaktim-ditutup-permanen-2
Negatif,72 Siswa di Jaktim Diduga Keracunan MBG - MerahPutih,https://www.merahputih.com/post/read/72-siswa-di-jaktim-diduga-keracunan-mbg-legislator-psi-tegaskan-proses-hukum-harus-ditegakkan
Positif,"Kementerian Pertanian Dukung APPMBGI, National Summit 2026 Perkuat Ekosistem MBG Nasional - Pinisi.co.id",https://pinisi.co.id/kementerian-pertanian-dukung-appmbgi-national-summit-2026-perkuat-ekosistem-mbg-nasional/
Negatif,Dapur Program Makan Bergizi Gratis di Jakarta Timur Dihentikan Sementara Usai 60 Siswa Keracunan Massal - bisnismarket.com | Informatif-Inspiratif-Edukatif,https://bisnismarket.com/post/dapur-program-makan-bergizi-gratis-di-jakarta-timur-dihentikan-sementara-usai-60-siswa-keracunan-massal
Negatif,"Program Makan Bergizi Gratis di Kayong Utara Macet, Desak Kinerja Korwil Dievaluasi Total",https://kalbaronline.com/2026/04/04/program-makan-bergizi-gratis-di-kayong-utara-macet-desak-kinerja-korwil-dievaluasi-total
Negatif,Ketika ”Makan Bergizi Gratis” Menormalisasi Makanan Tidak Bergizi,https://www.kompas.id/artikel/ketika-makan-bergizi-gratis-menormalisasi-makanan-tidak-bergizi
Positif,"Program Makan Bergizi Gratis Sentuh 20 Juta Penerima, Ciptakan 290 Ribu Lapangan Kerja | Sekretariat Negara",https://www.setneg.go.id/baca/index/program_makan_bergizi_gratis_sentuh_20_juta_penerima_ciptakan_290_ribu_lapangan_kerja
Positif,Capaian 299 Hari: Presiden Prabowo: Makan Bergizi Gratis Telah Menjangkau 20 Juta Orang - MULTIMEDIA CENTER PROVINSI KALIMANTAN TENGAH,https://mmc.kalteng.go.id/berita/read/48387/capaian-299-hari-presiden-prabowo-makan-bergizi-gratis-telah-menjangkau-20-juta-orang
Positif,"Makan Siang Berkah UMY, Program Inovatif untuk Meningkatkan Kesehatan dan Kesejahteraan Pegawai - UMY",https://www.umy.ac.id/makan-siang-berkah-umy-program-inovatif-untuk-meningkatkan-kesehatan-dan-kesejahteraan-pegawai/
Positif,Pemkab Pohuwato Bentuk Satgas Percepatan Program Makan Siang Bergizi Gratis,https://prokopim.pohuwatokab.go.id/berita/bacaberita/4632/pemkab-pohuwato-bentuk-satgas-percepatan-program-makan-siang-bergizi-gratis
Positif,"Menko PMK: Makan Bergizi Harus Jadi Kebiasaan Sehari-hari, Bukan Hanya di Sekolah | Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan",https://www.kemenkopmk.go.id/menko-pmk-makan-bergizi-harus-jadi-kebiasaan-sehari-hari-bukan-hanya-di-sekolah
Negatif,"MAHASISWA BERSUARA: Bukan Memberi Makan Siang Gratis, tapi Mer...",https://bandungbergerak.id/article/detail/1546035498/mahasiswa-bersuara-bukan-memberi-makan-siang-gratis-tapi-merombak-sistem-pendidikan
Negatif,"MBG: Ribuan siswa keracunan Makan Bergizi Gratis, orang tua trauma dan larang anaknya konsumsi MBG - BBC News Indonesia",https://www.bbc.com/indonesia/articles/cm2zney05ypo
Positif,"Dukung Program Makan Siang Bergizi Gratis, Pemko Pekanbaru Usulkan Pembangunan 3 Dapur Pangan",https://suarapekanbaru.com/news/detail/10245/dukung-program-makan-siang-bergizi-gratis-pemko-pekanbaru-usulkan-pembangunan-3-dapur-pangan
Negatif,Ketika Makan Bergizi Gratis Menyantap Anggaran Pendidikan,https://www.kompas.id/artikel/sorotan-pada-beban-anggaran-mbg-yang-memakan-anggaran-pendidikan
Positif,"Peluncuran Makan Bergizi Gratis di Kabupaten Buleleng, Sasar 15 Sekolah yang tersebar di Kecamatan Banjar. | Dinas Perdagangan, Perindustrian dan Koperasi, Usaha Kecil dan Menengah",https://disdagperinkopukm.bulelengkab.go.id/informasi/detail/berita/80_peluncuran-makan-bergizi-gratis-di-kabupaten-buleleng-sasar-15-sekolah-yang-tersebar-di-kecamatan-banjar
Positif,"Uji Coba Makan Siang Gratis, Gibran: Tidak Boleh Pelit | KBR.ID - Tepercaya, membuka perspektif",https://kbr.id/articles/indeks/uji-coba-makan-siang-gratis-gibran-tidak-boleh-pelit
Netral,"Makan Siang Gratis untuk Pelajar, Apakah Sesuai Standar Gizi? - UMJ",https://umj.ac.id/opini-1/program-makan-siang-gratis-harus-memenuhi-standar-gizi-seimbang/
Negatif,"Berjalan Amburadul, Prabowo Harus Hentikan MBG | ICW",https://antikorupsi.org/id/berjalan-amburadul-prabowo-harus-hentikan-mbg
Netral,Butuh Waktu Lima Tahun Siapkan Makan Bergizi Gratis di Finlandia,https://www.kompas.id/artikel/butuh-waktu-lima-tahun-siapkan-makan-siang-bergizi-gratis-di-finlandia
Netral,"Intip Program Makan Siang Sekolah di Berbagai Negara, Kandungan Gizi Jadi Fokus Utama",https://internasional.kontan.co.id/news/intip-program-makan-siang-sekolah-di-berbagai-negara-kandungan-gizi-jadi-fokus-utama
Positif,"Sumsel Siap Mendukung Program Makan Siang Gratis, Sekda Sumsel Minta Pemkab/Pemkot Siapkan Lahan Untuk SPPG
 | Sumselprov",https://www.sumselprov.go.id/detail/berita/sumsel-siap-mendukung-program-makan-siang-gratis-sekda-sumsel-minta-pemkabpemkot-siapkan-lahan-untuk-sppg/baru
Positif,Makan Bergizi Gratis Di Kabupaten Bekasi Tetap Berjalan - PERUMDA TIRTA BHAGASASI BEKASI,https://tirtabhagasasi.co.id/makan-bergizi-gratis-di-kabupaten-bekasi-tetap-berjalan/
Negatif,ICW Sarankan Makan Bergizi Gratis Dihentikan karena Bermasalah Melulu | tempo.co,https://www.tempo.co/politik/icw-sarankan-makan-bergizi-gratis-dihentikan-karena-bermasalah-melulu-1232760
Positif,Program Makan Bergizi Gratis Dorong Kebiasaan Menabung di Kalangan Pelajar - TP2S,https://stunting.go.id/program-makan-bergizi-gratis-dorong-kebiasaan-menabung-di-kalangan-pelajar/
Negatif,Ekonom Khawatir akan Keberlanjutan Program Makan Siang Bergizi,https://www.voaindonesia.com/a/ekonom-khawatir-akan-keberlanjutan-program-makan-siang-bergizi/7969258.html
Netral,BGN Ubah Mekanisme Pendanaan Program Makan Bergizi Gratis | tempo.co,https://www.tempo.co/politik/bgn-ubah-mekanisme-pendanaan-program-makan-bergizi-gratis-1233926
Positif,"Presiden Lantik Kepala Badan Gizi Nasional, Program Makan Siang Gratis Mulai 2 Januari",https://www.kompas.id/artikel/presiden-lantik-kepala-badan-gizi-nasional-program-makan-siang-gratis-dimulai-2-januari
Negatif,Keluarga dan Kroni Prabowo dalam Proyek Makan Bergizi Gratis | tempo.co,https://www.tempo.co/investigasi/kroni-prabowo-makan-bergizi-gratis-1233283
Negatif,"Program makan bergizi gratis perdana sasar 600 ribu orang, jauh dari target awal - Apakah program ini terlalu tergesa-gesa? - BBC News Indonesia",https://www.bbc.com/indonesia/articles/cx2ywv21708o
Negatif,Ini Catatan Temuan Ombudsman Sulsel pada Program Makan Siang Gratis di Makassar - Ombudsman RI,https://ombudsman.go.id/perwakilan/news/r/pwksiaran--ini-catatan-temuan-ombudsman-sulsel-pada-program-makan-siang-gratis-di-makassar
Positif,"Program Makan Bergizi Gratis Mulai Uji Coba Serentak Di 17 Sekolah
 | Positif Inspiratif",https://madiuntoday.id/berita/2025/01/06/program-makan-bergizi-gratis-mulai-uji-coba-serentak-di-17-sekolah
Netral,Program makan bergizi gratis Prabowo: Rp10.000 dapat menu makanan apa di Medan hingga Papua dan bagaimana kandungan gizinya? - BBC News Indonesia,https://www.bbc.com/indonesia/articles/ce3219dkq15o
Negatif,"China bantu Prabowo ongkosi makan bergizi gratis, tapi apa 'timbal balik' yang diminta China? - BBC News Indonesia",https://www.bbc.com/indonesia/articles/c04lvd4dw0yo
Negatif,Program makan bergizi gratis andalan Presiden Prabowo Subianto 'belum memenuhi standar kebutuhan gizi'  - BBC News Indonesia,https://www.bbc.com/indonesia/articles/cd0e05p7n1go
Negatif,Makan Bergizi Gratis: Antusiasme Dibayangi Potensi Korupsi,https://www.dw.com/id/makan-bergizi-gratis-antusiasme-dibayangi-potensi-korupsi/a-71230230
Positif,Food Truck Universitas Diponegoro: Makan Siang Gratis untuk Mahasiswa - Universitas Diponegoro,https://undip.ac.id/food-truck-2
Negatif,"Prabowo Tetapkan Anggaran Makan Bergizi Gratis Rp10 Ribu Per Anak, Cukup Bergizikah?",https://www.voaindonesia.com/a/prabowo-tetapkan-anggaran-makan-bergizi-gratis-rp10-ribu-per-anak-cukup-bergizikah-/7885835.html
Positif,Lanud Supadio Gelar Uji Coba Makan Siang Bergizi Gratis untuk Pelajar TK dan SD,https://tni-au.mil.id/berita/detail/lanud-supadio-gelar-uji-coba-makan-siang-bergizi-gratis-untuk-pelajar-tk-dan-sd
Netral,Program Makan Gratis Prabowo Sudah Terpikir sejak 2006,https://www.kompas.id/artikel/program-makan-siang-gratis-prabowo-sudah-terpikir-sejak-2006
Netral,Program Makan Siang Gratis Prabowo-Gibran Bersumber dari Pajak dan Subsidi BBM - Ikatan Konsultan Pajak Indonesia,https://ikpi.or.id/program-makan-siang-gratis-prabowo-gibran-bersumber-dari-pajak-dan-subsidi-bbm/
Positif,Sasaran Program Makan Bergizi Gratis Diperluas Hingga Pelajar SMA Sederajat,https://pekalongankota.go.id/berita/sasaran-program-makan-bergizi-gratis-diperluas-hingga-pelajar-sma-sederajat.html
Positif,"Tinjau Program Makan Bergizi Gratis di Bekasi, Wapres Tekankan Pentingnya Pemanfaatan Bahan Pangan Lokal - TP2S",https://stunting.go.id/tinjau-program-makan-bergizi-gratis-di-bekasi-wapres-tekankan-pentingnya-pemanfaatan-bahan-pangan-lokal/
Netral,Menuntut Ilmu Makan Siang Gratis ke Negeri China,https://www.kompas.id/artikel/menuntut-ilmu-makan-siang-gratis-ke-negeri-china
Negatif,Makan bergizi gratis ala Prabowo-Gibran dikhawatirkan tidak tepat sasaran dan 'menggerogoti' anggaran kementerian dan program lain - BBC News Indonesia,https://www.bbc.com/indonesia/articles/c72273z6xmdo
Negatif,Mengkritisi Program Makan Siang Gratis,https://www.kompas.id/artikel/mengkritisi-program-makan-siang-gratis
Positif,"Makan Bergizi Gratis di Surabaya Mulai Pekan Depan, Tahap Awal Ada 5 Sekolah - Dinas Komunikasi dan Informatika Provinsi Jawa Timur",https://kominfo.jatimprov.go.id/berita/makan-bergizi-gratis-di-surabaya-mulai-pekan-depan-tahap-awal-ada-5-sekolah
Netral,Apakah Program Makan Siang Gratis Bisa Jadi Gerakan Sosial?,https://www.kompas.id/artikel/membebani-fiskal-makan-bergizi-gratis-apa-bisa-jadi-gerakan-sosial
Negatif,Makan siang gratis: Mungkinkah kebijakan Prabowo-Gibran diwujudkan tanpa bergantung pada impor bahan pangan? - BBC News Indonesia,https://www.bbc.com/indonesia/articles/c4nw109pyx1o
Positif,"Launching Program Makan Bergizi Gratis di Pebayuran, Pj Bupati Harapkan Cetak Generasi Sehat dan Berdaya Saing",https://www.bekasikab.go.id/launching-program-makan-bergizi-gratis-di-pebayuran-pj-bupati-harapkan-cetak-generasi-sehat-dan-berdaya-saing
Negatif,Makan Bergizi Gratis yang Terus Disorot,https://www.kompas.id/artikel/makan-bergizi-gratis-yang-terus-disorot
Negatif,Anggaran Makan Bergizi Gratis Dapat Membengkak ke Rp 171 Triliun pada 2025,https://www.kompas.id/artikel/anggaran-makan-bergizi-gratis-dapat-membengkak-jadi-rp-171-triliun-di-tahun-pertama
Positif,14 sekolah dapat makan bergizi gratis di Banjarmasin - ANTARA News Kalimantan Selatan,https://kalsel.antaranews.com/berita/447654/14-sekolah-dapat-makan-bergizi-gratis-di-banjarmasin
Negatif,Makan Gratis Pakai Anggaran Pendidikan: Tipu-Tipu Pemenuhan 20% APBN untuk Pendidikan | ICW,https://antikorupsi.org/id/makan-gratis-pakai-anggaran-pendidikan-tipu-tipu-pemenuhan-20-apbn-untuk-pendidikan
Positif,Makan Siang Gratis dan Literasi Fungsional,https://www.kompas.id/artikel/makan-siang-gratis-dan-literasi-fungsional
Negatif,"Gagal fokus Prabowo: Papua lebih butuh akses pendidikan, bukan makan siang gratis",https://theconversation.com/gagal-fokus-prabowo-papua-lebih-butuh-akses-pendidikan-bukan-makan-siang-gratis-250181
Negatif,Mitra Dapur Makan Bergizi Gratis Bakal Lapor ke Polisi Karena Belum Dibayar Sepeser Pun | tempo.co,https://www.tempo.co/hukum/mitra-dapur-makan-bergizi-gratis-bakal-lapor-ke-polisi-karena-belum-dibayar-sepeser-pun-1231791
Negatif,"Makan Siang Gratis Butuh Rp71 Triliun, Dijamin Tak Potong Dana BOS",https://news.ddtc.co.id/berita/nasional/1805207/makan-siang-gratis-butuh-rp71-triliun-dijamin-tak-potong-dana-bos
Negatif,"Apresiasi Kecepatan Makan Siang Bergizi Gratis, MUI Ingatkan Jaminan Kehalalan - mui.or.id",https://mui.or.id/baca/berita/apresiasi-kecepatan-makan-siang-bergizi-gratis-mui-ingatkan-jaminan-kehalalan?page=1
Positif,Program Makan Siang Bergizi Gratis Didukung 2 Perusahaan Tambang dan Dihadiri Langsung Anggota DPRRI  - BERITA KOLUT,https://berita.kolutkab.go.id/program-makan-siang-bergizi-gratis-didukung-2-perusahaan-tambang-dan-dihadiri-langsung-anggota-dprri/
Positif,"Deputy minister urges expanded MBG coverage for mothers, toddlers - ANTARA News Jawa Timur",https://jatim.antaranews.com/berita/1054653/deputy-minister-urges-expanded-mbg-coverage-for-mothers-toddlers
Negatif,"Video: 72 Siswa Keracunan MBG di Jaktim, Wamenkes Ungkap Pemicunya",https://20.detik.com/detikupdate/20260406-260406040/video-72-siswa-keracunan-mbg-di-jaktim-wamenkes-ungkap-pemicunya
Negatif,BGN Minta Maaf usai Adanya 72 Siswa SD Diduga Keracunan MBG di Duren Sawit,https://nasional.kompas.com/read/2026/04/04/16012751/bgn-minta-maaf-usai-adanya-72-siswa-sd-diduga-keracunan-mbg-di-duren-sawit
Negatif,"72 Siswa Keracunan MBG di Jakarta Timur, Pramono: Karena Spageti | Republika Online",https://news.republika.co.id/berita/td1umk484/72-siswa-keracunan-mbg-di-jakarta-timur-pramono-karena-spagheti
Negatif,Dapur MBG Pondok Kelapa Disuspend BGN Tanpa Batas Waktu Usai 72 Orang Keracunan,https://wartaekonomi.co.id/read606761/dapur-mbg-pondok-kelapa-disuspend-bgn-tanpa-batas-waktu-usai-72-orang-keracunan
Negatif,"Cegah Keracunan MBG, Guru Besar Usul Pihak Ketiga Sertifikasi SPPG",https://www.metrotvnews.com/read/KYVCemwJ-cegah-keracunan-mbg-guru-besar-usul-pihak-ketiga-sertifikasi-sppg
Positif,"Bekesah - Aturan Menu Berubah, Siswa di Bontang Terima MBG sampai Jumat",https://bekesah.co/aturan-menu-berubah-siswa-di-bontang-terima-mbg-sampai-jumat
Negatif,Wamen Isyana sebut pentingnya tingkatkan distribusi MBG bagi 3B,https://gorontalo.antaranews.com/berita/398093/wamen-isyana-sebut-pentingnya-tingkatkan-distribusi-mbg-bagi-3b
Netral,Wamendagri tekankan kepala daerah di Kepri kawal kelancaran program MBG - ANTARA News Kepulauan Riau - Berita Kepulauan Riau Terkini,https://kepri.antaranews.com/berita/255265/wamendagri-tekankan-kepala-daerah-di-kepri-kawal-kelancaran-program-mbg
Positif,"Ekonomi sepekan, pinjaman lewat Kopdes hingga MBG hanya hari sekolah - ANTARA News",https://www.antaranews.com/berita/5511637/ekonomi-sepekan-pinjaman-lewat-kopdes-hingga-mbg-hanya-hari-sekolah
Negatif,Anggota DPR Desak SPPG Tutup Permanen Usai Keracunan Massal | tempo.co,https://www.tempo.co/politik/anggota-dpr-desak-sppg-tutup-permanen-usai-keracunan-massal-2126844
Negatif,"72 Siswa Dirawat Usai Konsumsi MBG di Jaktim, DPRD DKI Minta Pengawasan Diperketat",https://www.liputan6.com/news/read/6310372/72-siswa-dirawat-usai-konsumsi-mbg-di-jaktim-dprd-dki-minta-pengawasan-diperketat
Positif,Penyesuaian MBG untuk penghematan anggaran - Infografik ANTARA News,https://www.antaranews.com/infografik/5510397/penyesuaian-mbg-untuk-penghematan-anggaran
Negatif,"72 Siswa Keracunan MBG, Komisi IX DPR Desak SPPG Pondok Kelapa Ditutup Permanen",https://www.liputan6.com/news/read/6310244/72-siswa-keracunan-mbg-komisi-ix-dpr-desak-sppg-pondok-kelapa-ditutup-permanen
Positif,Pramono: Mayoritas Siswa Korban Keracunan MBG di Jaktim Sudah Pulih,https://www.liputan6.com/news/read/6310617/pramono-mayoritas-siswa-korban-keracunan-mbg-di-jaktim-sudah-pulih
Positif,"Kisah Budi, Difabel yang Temukan Kesempatan Kedua di Dapur MBG",https://www.liputan6.com/disabilitas/read/6310295/kisah-budi-difabel-yang-temukan-kesempatan-kedua-di-dapur-mbg
Negatif,BGN siap bertanggung jawab bagi korban keracunan MBG di Jaktim - ANTARA News,https://www.antaranews.com/berita/5510765/bgn-siap-bertanggung-jawab-bagi-korban-keracunan-mbg-di-jaktim
Negatif,Puluhan siswa dari empat sekolah Jaktim diduga keracunan spageti MBG - ANTARA News,https://www.antaranews.com/berita/5510753/puluhan-siswa-dari-empat-sekolah-jaktim-diduga-keracunan-spageti-mbg
Positif,Viral Aksi Pelajar SMAN 1 Cikeusal Banten Bagikan Jatah MBG ke Masyarakat Kurang Mampu,https://www.liputan6.com/regional/read/6311025/viral-aksi-pelajar-sman-1-cikeusal-banten-bagikan-jatah-mbg-ke-masyarakat-kurang-mampu
Positif,"Kata Abdul Mu'ti, Siswa Hadir di Sekolah karena Ada MBG | tempo.co",https://www.tempo.co/wawancara/mbg-naik-kelas-dalam-program-pendidikan-2126585
Negatif,"SPPG Manglid 2 Stop Operasional, PIC MBG: Evaluasi Total dan Rotasi Personel Dilakukan | RADAR NUSANTARA NEWS",http://www.radarnusantara.com/2026/04/sppg-manglid-2-stop-operasional-pic-mbg.html
Negatif,"136 Dapur MBG di Sulsel Ditutup Sementara, 2 Diantaranya di Tana Toraja - Kareba Toraja",https://kareba-toraja.com/136-dapur-mbg-di-sulsel-ditutup-sementara-2-diantaranya-di-tana-toraja/
Positif,Optimalisasi Program MBG Berpotensi Hemat Rp20 Triliun - Media Keuangan,https://mediakeuangan.kemenkeu.go.id/article/show/optimalisasi-program-mbg-berpotensi-hemat-rp20-triliun
Positif,"KSP Sebut MBG telah Capai 61,2 Juta Penerima Manfaat, dorong Keterlibatan UMKM – Kantor Staf Presiden",https://www.ksp.go.id/presiden-prabowo-gelar-silaturahmi-dan-diskusi-dengan-tokoh-nasional-bahas-dampak-perang-iran-terhadap-stabilitas-dan-ekonomi-dunia-2.html
Netral,malang-post.com - Babinsa Kedungkandang Kawal Distribusi MBG Demi Kelancaran dan Ketepatan Sasaran,https://malang-post.com/2026/04/06/babinsa-kedungkandang-kawal-distribusi-mbg-demi-kelancaran-dan-ketepatan-sasaran/
Negatif,Kasus Keracunan MBG di Duren Sawit: Permintaan Maaf BGN dan Evaluasi Besar Program Makan Gratis,https://kuatbaca.com/umum/kasus-keracunan-mbg-di-duren-sawit-permintaan-maaf-bgn-dan-evaluasi-besar-program-makan-gratis-17753536578658-1383769
